human_ensembl_gene_id,human_accession,hgnc_symbol,mouse_ensembl_gene_id,external_gene_name,mouse_accession
ENSG00000100883,P61011,SRP54,ENSMUSG00000073079,Srp54a,P14576
ENSG00000100883,P61011,SRP54,ENSMUSG00000073079,Srp54a,P14576
ENSG00000100883,P61011,SRP54,ENSMUSG00000073079,Srp54a,P14576
ENSG00000108187,P30039,PBLD,ENSMUSG00000020072,Pbld2,Q9CXN7
ENSG00000108187,P30039,PBLD,ENSMUSG00000020072,Pbld2,Q9CXN7
ENSG00000111640,P04406,GAPDH,ENSMUSG00000057666,Gapdh,P16858
ENSG00000111640,P04406,GAPDH,ENSMUSG00000057666,Gapdh,P16858
ENSG00000111640,P04406,GAPDH,ENSMUSG00000057666,Gapdh,P16858
ENSG00000112992,Q13423,NNT,ENSMUSG00000025453,Nnt,"['E9Q8F4', 'Q8C9V5', 'Q8BGK0']"
ENSG00000112992,Q13423,NNT,ENSMUSG00000025453,Nnt,"['E9Q8F4', 'Q8C9V5', 'Q8BGK0']"
ENSG00000115541,P61604,HSPE1,ENSMUSG00000073676,Hspe1,Q64433
ENSG00000115541,P61604,HSPE1,ENSMUSG00000073676,Hspe1,Q64433
ENSG00000126838,P20742,PZP,ENSMUSG00000030131,Mug2,P28666
ENSG00000126838,P20742,PZP,ENSMUSG00000030131,Mug2,P28666
ENSG00000126838,P20742,PZP,ENSMUSG00000030131,Mug2,P28666
ENSG00000160111,Q8IZJ3,CPAMD8,ENSMUSG00000030131,Mug2,P28666
ENSG00000160111,Q8IZJ3,CPAMD8,ENSMUSG00000030131,Mug2,P28666
ENSG00000160111,Q8IZJ3,CPAMD8,ENSMUSG00000030131,Mug2,P28666
ENSG00000126838,P20742,PZP,ENSMUSG00000059908,Mug1,P28665
ENSG00000126838,P20742,PZP,ENSMUSG00000059908,Mug1,P28665
ENSG00000126838,P20742,PZP,ENSMUSG00000059908,Mug1,P28665
ENSG00000160111,Q8IZJ3,CPAMD8,ENSMUSG00000059908,Mug1,P28665
ENSG00000160111,Q8IZJ3,CPAMD8,ENSMUSG00000059908,Mug1,P28665
ENSG00000160111,Q8IZJ3,CPAMD8,ENSMUSG00000059908,Mug1,P28665
ENSG00000130023,Q5T6L9,ERMARD,ENSMUSG00000036552,Ermard,"['A0A2I3BQD2', 'A0A2I3BQP4', 'A0A2I3BPT5', 'A0A2I3BQQ1', 'A0A2I3BPX2', 'A0A2I3BQS2', 'Q8C9C8', 'E9Q048']"
ENSG00000130023,Q5T6L9,ERMARD,ENSMUSG00000036552,Ermard,"['A0A2I3BQD2', 'A0A2I3BQP4', 'A0A2I3BPT5', 'A0A2I3BQQ1', 'A0A2I3BPX2', 'A0A2I3BQS2', 'Q8C9C8', 'E9Q048']"
ENSG00000134717,Q96K17,BTF3L4,ENSMUSG00000028568,Btf3l4,Q9CQH7
ENSG00000134717,Q96K17,BTF3L4,ENSMUSG00000028568,Btf3l4,Q9CQH7
ENSG00000168385,Q15019,SEPTIN2,ENSMUSG00000026276,Septin2,P42208
ENSG00000168385,Q15019,SEPTIN2,ENSMUSG00000026276,Septin2,P42208
ENSG00000183347,Q6ZN66,GBP6,ENSMUSG00000029298,Gbp9,Q8BTS3
ENSG00000183347,Q6ZN66,GBP6,ENSMUSG00000029298,Gbp9,Q8BTS3
ENSG00000183347,Q6ZN66,GBP6,ENSMUSG00000029298,Gbp9,Q8BTS3
ENSG00000183347,Q6ZN66,GBP6,ENSMUSG00000029298,Gbp9,Q8BTS3
ENSG00000183347,Q6ZN66,GBP6,ENSMUSG00000029298,Gbp9,Q8BTS3
ENSG00000183347,Q6ZN66,GBP6,ENSMUSG00000029298,Gbp9,Q8BTS3
ENSG00000183347,Q6ZN66,GBP6,ENSMUSG00000034438,Gbp8,Q2V6D6
ENSG00000183347,Q6ZN66,GBP6,ENSMUSG00000034438,Gbp8,Q2V6D6
ENSG00000183347,Q6ZN66,GBP6,ENSMUSG00000034438,Gbp8,Q2V6D6
ENSG00000183347,Q6ZN66,GBP6,ENSMUSG00000034438,Gbp8,Q2V6D6
ENSG00000183347,Q6ZN66,GBP6,ENSMUSG00000034438,Gbp8,Q2V6D6
ENSG00000183347,Q6ZN66,GBP6,ENSMUSG00000034438,Gbp8,Q2V6D6
ENSG00000185515,P46736,BRCC3,ENSMUSG00000031201,Brcc3,P46737
ENSG00000185515,P46736,BRCC3,ENSMUSG00000031201,Brcc3,P46737
ENSG00000198805,P00491,PNP,ENSMUSG00000068417,Pnp2,Q9D8C9
ENSG00000198805,P00491,PNP,ENSMUSG00000068417,Pnp2,Q9D8C9
ENSG00000280789,Q9BTK6,PAGR1,ENSMUSG00000030680,Pagr1a,Q99L02
ENSG00000280789,Q9BTK6,PAGR1,ENSMUSG00000030680,Pagr1a,Q99L02
ENSG00000127578,Q96NZ8,WFIKKN1,ENSMUSG00000071192,Wfikkn1,Q8R0S6
ENSG00000128309,P25325,MPST,ENSMUSG00000071711,Mpst,Q99J99
ENSG00000128683,Q99259,GAD1,ENSMUSG00000070880,Gad1,P48318
ENSG00000129292,A8MW92,PHF20L1,ENSMUSG00000072501,Phf20l1,Q8CCJ9
ENSG00000130054,O75949,NALF2,ENSMUSG00000071719,Nalf2,A2BDP1
ENSG00000130475,O14526,FCHO1,ENSMUSG00000070000,Fcho1,Q8K285
ENSG00000130511,Q9BWG4,SSBP4,ENSMUSG00000070003,Ssbp4,"['Q3U4B1', 'A0A1B0GRX5', 'A0A1B0GRS0', 'A0A1B0GRM9', 'A0A1B0GT95']"
ENSG00000130522,P17535,JUND,ENSMUSG00000071076,Jund,P15066
ENSG00000130811,O75821,EIF3G,ENSMUSG00000070319,Eif3g,Q9Z1D1
ENSG00000132467,Q9NQZ2,UTP3,ENSMUSG00000070697,Utp3,Q9JI13
ENSG00000134548,Q9BT56,SPX,ENSMUSG00000071112,Spx,D3Z752
ENSG00000135063,Q15884,ENTREP1,ENSMUSG00000071604,Entrep1,Q4FZH1
ENSG00000135899,Q9HB58,SP110,ENSMUSG00000070034,Sp110,Q8BVK9
ENSG00000135899,Q9HB58,SP110,ENSMUSG00000070034,Sp110,Q8BVK9
ENSG00000135966,Q8WUH2,TGFBRAP1,ENSMUSG00000070939,Tgfbrap1,Q3UR70
ENSG00000136169,Q96T68,SETDB2,ENSMUSG00000071350,Setdb2,Q8C267
ENSG00000136933,Q7Z6M1,RABEPK,ENSMUSG00000070953,Rabepk,Q8VCH5
ENSG00000137207,Q9GZM5,YIPF3,ENSMUSG00000071074,Yipf3,Q3UDR8
ENSG00000137496,O95998,IL18BP,ENSMUSG00000070427,Il18bp,Q9Z0M9
ENSG00000137522,Q9H920,RNF121,ENSMUSG00000070426,Rnf121,Q8R1Z9
ENSG00000137675,Q9H306,MMP27,ENSMUSG00000070323,Mmp27,"['F6QKX8', 'D3YV89', 'D3Z6I1']"
ENSG00000137824,Q96TC7,RMDN3,ENSMUSG00000070730,Rmdn3,Q3UJU9
ENSG00000139364,Q14DG7,TMEM132B,ENSMUSG00000070498,Tmem132b,"['F7BAB2', 'V9GX71']"
ENSG00000140406,Q9H1K6,TLNRD1,ENSMUSG00000070462,Tlnrd1,Q9ERE8
ENSG00000141378,Q9Y3E5,PTRH2,ENSMUSG00000072582,Ptrh2,Q8R2Y8
ENSG00000143125,P58294,PROK1,ENSMUSG00000070368,Prok1,Q14A28
ENSG00000143498,Q15573,TAF1A,ENSMUSG00000072258,Taf1a,P97357
ENSG00000143839,P00797,REN,ENSMUSG00000070645,Ren1,P06281
ENSG00000143842,Q9UN79,SOX13,ENSMUSG00000070643,Sox13,Q04891
ENSG00000143845,Q9NVF9,ETNK2,ENSMUSG00000070644,Etnk2,A7MCT6
ENSG00000143919,Q7Z624,CAMKMT,ENSMUSG00000071037,Camkmt,Q3U2J5
ENSG00000147324,Q9Y4C4,MFHAS1,ENSMUSG00000070056,Mfhas1,Q3V1N1
ENSG00000149016,Q9H6E5,TUT1,ENSMUSG00000071645,Tut1,Q8R3F9
ENSG00000149257,P50454,SERPINH1,ENSMUSG00000070436,Serpinh1,P19324
ENSG00000149480,O94776,MTA2,ENSMUSG00000071646,Mta2,Q9R190
ENSG00000149489,Q03395,ROM1,ENSMUSG00000071648,Rom1,P32958
ENSG00000149499,Q32P44,EML3,ENSMUSG00000071647,Eml3,Q8VC03
ENSG00000149541,O94766,B3GAT3,ENSMUSG00000071649,B3gat3,P58158
ENSG00000149575,O60939,SCN2B,ENSMUSG00000070304,Scn2b,Q56A07
ENSG00000151612,Q17R98,ZNF827,ENSMUSG00000071064,Zfp827,Q505G8
ENSG00000152582,Q9C093,SPEF2,ENSMUSG00000072663,Spef2,Q8C9J3
ENSG00000152689,Q8IV61,RASGRP3,ENSMUSG00000071042,Rasgrp3,"['A0A3Q4EG32', 'A0A3Q4EC09', 'Q6NZH9']"
ENSG00000154479,Q0VFZ6,CFAP210,ENSMUSG00000070883,Ccdc173,A0JLY1
ENSG00000154856,Q8J025,APCDD1,ENSMUSG00000071847,Apcdd1,Q3U128
ENSG00000155876,Q7L523,RRAGA,ENSMUSG00000070934,Rraga,Q80X95
ENSG00000156218,P82987,ADAMTSL3,ENSMUSG00000070469,Adamtsl3,"['G3UXC7', 'G3UYN1', 'G3UWL5']"
ENSG00000156886,Q13349,ITGAD,ENSMUSG00000070369,Itgad,Q3V0T4
ENSG00000160588,Q6UWV2,MPZL3,ENSMUSG00000070305,Mpzl3,Q3V3F6
ENSG00000160633,Q15424,SAFB,ENSMUSG00000071054,Safb,D3YXK2
ENSG00000162004,A2IDD5,CCDC78,ENSMUSG00000071202,Ccdc78,D3Z5T1
ENSG00000162063,P41002,CCNF,ENSMUSG00000072082,Ccnf,P51944
ENSG00000162188,P63215,GNG3,ENSMUSG00000071658,Gng3,P63216
ENSG00000162191,Q04323,UBXN1,ENSMUSG00000071655,Ubxn1,Q922Y1
ENSG00000162222,Q8N5M4,TTC9C,ENSMUSG00000071660,Ttc9c,Q810A3
ENSG00000163694,A0AV96,RBM47,ENSMUSG00000070780,Rbm47,Q91WT8
ENSG00000164221,Q8NEF3,CCDC112,ENSMUSG00000071855,Ccdc112,"['A0A494BB34', 'A0A494BBM3', 'D3Z1J2']"
ENSG00000164694,Q4ZHG4,FNDC1,ENSMUSG00000071984,Fndc1,"['A0A8V5KYN9', 'E9Q8V0', 'A0A6I8MWX0', 'E9Q043']"
ENSG00000165215,O15551,CLDN3,ENSMUSG00000070473,Cldn3,Q9Z0G9
ENSG00000165264,O95139,NDUFB6,ENSMUSG00000071014,Ndufb6,Q3UIU2
ENSG00000165794,Q9NP94,SLC39A2,ENSMUSG00000072572,Slc39a2,G3X943
ENSG00000165879,Q92837,FRAT1,ENSMUSG00000067199,Frat1,P70339
ENSG00000165879,Q92837,FRAT1,ENSMUSG00000067199,Frat1,P70339
ENSG00000165879,Q92837,FRAT1,ENSMUSG00000070526,Peg12,Q9WVA7
ENSG00000165879,Q92837,FRAT1,ENSMUSG00000070526,Peg12,Q9WVA7
ENSG00000167311,Q96L15,ART5,ENSMUSG00000070424,Art5,P70352
ENSG00000167552,Q71U36,TUBA1A,ENSMUSG00000072235,Tuba1a,P68369
ENSG00000168000,Q96G97,BSCL2,ENSMUSG00000071657,Bscl2,Q9Z2E9
ENSG00000168002,P62487,POLR2G,ENSMUSG00000071662,Polr2g,P62488
ENSG00000168268,Q9H857,NT5DC2,ENSMUSG00000071547,Nt5dc2,"['A0A2I3BR81', 'A0A2I3BPH8', 'A0A2I3BQR1', 'A0A2I3BRL0', 'Q91X76']"
ENSG00000168672,Q96KN1,LRATD2,ENSMUSG00000072568,Lratd2,D3YXJ5
ENSG00000168917,Q8TBE7,SLC35G2,ENSMUSG00000070287,Slc35g2,D3YVE8
ENSG00000169184,Q10571,MN1,ENSMUSG00000070576,Mn1,D3YWE6
ENSG00000169385,P10153,RNASE2,ENSMUSG00000072596,Ear2,P97425
ENSG00000169397,P12724,RNASE3,ENSMUSG00000072596,Ear2,P97425
ENSG00000171444,P23508,MCC,ENSMUSG00000071856,Mcc,"['G3UW40', 'E9PWI3']"
ENSG00000172123,Q8IYM2,SLFN12,ENSMUSG00000000204,Slfn4,"['Q3UV66', 'A0A1L1SUL4']"
ENSG00000172123,Q8IYM2,SLFN12,ENSMUSG00000000204,Slfn4,"['Q3UV66', 'A0A1L1SUL4']"
ENSG00000172123,Q8IYM2,SLFN12,ENSMUSG00000000204,Slfn4,"['Q3UV66', 'A0A1L1SUL4']"
ENSG00000172123,Q8IYM2,SLFN12,ENSMUSG00000000204,Slfn4,"['Q3UV66', 'A0A1L1SUL4']"
ENSG00000205045,,SLFN12L,ENSMUSG00000000204,Slfn4,"['Q3UV66', 'A0A1L1SUL4']"
ENSG00000172123,Q8IYM2,SLFN12,ENSMUSG00000018986,Slfn3,"['A0A1L1STQ7', 'Q9Z0I5']"
ENSG00000172123,Q8IYM2,SLFN12,ENSMUSG00000018986,Slfn3,"['A0A1L1STQ7', 'Q9Z0I5']"
ENSG00000172123,Q8IYM2,SLFN12,ENSMUSG00000018986,Slfn3,"['A0A1L1STQ7', 'Q9Z0I5']"
ENSG00000172123,Q8IYM2,SLFN12,ENSMUSG00000018986,Slfn3,"['A0A1L1STQ7', 'Q9Z0I5']"
ENSG00000205045,,SLFN12L,ENSMUSG00000018986,Slfn3,"['A0A1L1STQ7', 'Q9Z0I5']"
ENSG00000172123,Q8IYM2,SLFN12,ENSMUSG00000072620,Slfn2,Q9Z0I6
ENSG00000172123,Q8IYM2,SLFN12,ENSMUSG00000072620,Slfn2,Q9Z0I6
ENSG00000172123,Q8IYM2,SLFN12,ENSMUSG00000072620,Slfn2,Q9Z0I6
ENSG00000172123,Q8IYM2,SLFN12,ENSMUSG00000072620,Slfn2,Q9Z0I6
ENSG00000205045,,SLFN12L,ENSMUSG00000072620,Slfn2,Q9Z0I6
ENSG00000172724,Q99731,CCL19,ENSMUSG00000071005,Ccl19,O70460
ENSG00000172828,Q6UWW8,CES3,ENSMUSG00000062181,Ces3b,Q8VCU1
ENSG00000172828,Q6UWW8,CES3,ENSMUSG00000062181,Ces3b,Q8VCU1
ENSG00000172828,Q6UWW8,CES3,ENSMUSG00000069922,Ces3a,Q63880
ENSG00000172828,Q6UWW8,CES3,ENSMUSG00000069922,Ces3a,Q63880
ENSG00000173540,Q9Y5P6,GMPPB,ENSMUSG00000070284,Gmppb,Q8BTZ7
ENSG00000173821,Q63HN8,RNF213,ENSMUSG00000070327,Rnf213,E9Q555
ENSG00000173915,Q96IX5,ATP5MK,ENSMUSG00000071528,Atp5md,Q78IK2
ENSG00000175395,P17030,ZNF25,ENSMUSG00000072623,Zfp9,Q8BIS1
ENSG00000176160,Q4G112,HSF5,ENSMUSG00000070345,Hsf5,Q5ND04
ENSG00000176401,Q96D98,EID2B,ENSMUSG00000070705,Eid2b,E9Q2Y0
ENSG00000177354,Q711Q0,C10orf71,ENSMUSG00000071540,3425401B19Rik,D3Z1D3
ENSG00000177363,Q8ND94,LRRN4CL,ENSMUSG00000071656,Lrrn4cl,Q3TYX2
ENSG00000177483,Q6ZP01,RBM44,ENSMUSG00000070732,Rbm44,Q3V089
ENSG00000178057,Q9BU61,NDUFAF3,ENSMUSG00000070283,Ndufaf3,Q9JKL4
ENSG00000178226,Q5K4E3,PRSS36,ENSMUSG00000070371,Prss36,"['E9QJT0', 'D3YV46', 'D3YY92', 'D3Z2A9']"
ENSG00000178764,Q9Y6X8,ZHX2,ENSMUSG00000071757,Zhx2,Q8C0C0
ENSG00000178776,Q6UWT4,C5orf46,ENSMUSG00000071858,Gm94,Q3V2D2
ENSG00000178826,Q8IV31,TMEM139,ENSMUSG00000071506,Tmem139,E9PX92
ENSG00000178828,Q9NXI6,RNF186,ENSMUSG00000070661,Rnf186,Q9D241
ENSG00000179455,Q13064,MKRN3,ENSMUSG00000070527,Mkrn3,Q60764
ENSG00000179862,Q96RK1,CITED4,ENSMUSG00000070803,Cited4,Q9WUL8
ENSG00000180785,Q8TCB6,OR51E1,ENSMUSG00000070423,Or51e1,Q8VGZ7
ENSG00000180822,Q5JS54,PSMG4,ENSMUSG00000071451,Psmg4,P0C7N9
ENSG00000181016,Q8N8F7,LSMEM1,ENSMUSG00000071342,Lsmem1,Q3UQS2
ENSG00000181847,Q495A1,TIGIT,ENSMUSG00000071552,Tigit,A0A0B4J1G6
ENSG00000182175,Q96B86,RGMA,ENSMUSG00000070509,Rgma,Q6PCX7
ENSG00000182903,Q8TF20,ZNF721,ENSMUSG00000058402,Zfp420,Q7TMN8
ENSG00000182903,Q8TF20,ZNF721,ENSMUSG00000058402,Zfp420,Q7TMN8
ENSG00000182903,Q8TF20,ZNF721,ENSMUSG00000070709,Zfp974,"['Q3UVF6', 'Q9CVS5']"
ENSG00000182903,Q8TF20,ZNF721,ENSMUSG00000070709,Zfp974,"['Q3UVF6', 'Q9CVS5']"
ENSG00000184162,Q86WQ0,NR2C2AP,ENSMUSG00000071078,Nr2c2ap,Q3TV70
ENSG00000184702,Q99719,SEPTIN5,ENSMUSG00000072214,Septin5,Q9Z2Q6
ENSG00000184719,Q5VYX0,RNLS,ENSMUSG00000071573,Rnls,A0A0R4J156
ENSG00000185085,Q6P9B9,INTS5,ENSMUSG00000071652,Ints5,Q8CHT3
ENSG00000185115,Q96MG7,NSMCE3,ENSMUSG00000070520,Nsmce3,Q9CPR8
ENSG00000185115,Q96MG7,NSMCE3,ENSMUSG00000070520,Nsmce3,Q9CPR8
ENSG00000145416,Q8TCQ1,MARCHF1,ENSMUSG00000036469,Marchf1,Q6NZQ8
ENSG00000145819,Q9UNA1,ARHGAP26,ENSMUSG00000036452,Arhgap26,Q6ZQ82
ENSG00000146038,Q9UHG0,DCDC2,ENSMUSG00000035910,Dcdc2a,Q5DU00
ENSG00000146109,Q9ULW3,ABT1,ENSMUSG00000036376,Abt1,Q9QYL7
ENSG00000147256,Q6ZRI8,ARHGAP36,ENSMUSG00000036198,Arhgap36,B1AUC7
ENSG00000147408,Q8TDX6,CSGALNACT1,ENSMUSG00000036356,Csgalnact1,Q8BJQ9
ENSG00000147955,Q99720,SIGMAR1,ENSMUSG00000036078,Sigmar1,O55242
ENSG00000148296,O75683,SURF6,ENSMUSG00000036160,Surf6,P70279
ENSG00000149328,Q8IW92,GLB1L2,ENSMUSG00000036395,Glb1l2,"['E0CY86', 'A0A0R4J0L1', 'E0CYE1', 'E0CYW9', 'Q8BZW3']"
ENSG00000150750,Q8IXP5,POU2AF2,ENSMUSG00000036027,Pou2af2,Q9D8Q6
ENSG00000151229,Q96QE2,SLC2A13,ENSMUSG00000036298,Slc2a13,Q3UHK1
ENSG00000151233,Q4G148,GXYLT1,ENSMUSG00000036197,Gxylt1,Q3UHH8
ENSG00000152127,Q09328,MGAT5,ENSMUSG00000036155,Mgat5,Q8R4G6
ENSG00000152580,Q6WRI0,IGSF10,ENSMUSG00000036334,Igsf10,Q3V1M1
ENSG00000153237,Q8NFR7,CCDC148,ENSMUSG00000036641,Ccdc148,Q6P5U8
ENSG00000153902,Q8N135,LGI4,ENSMUSG00000036560,Lgi4,Q8K1S1
ENSG00000154611,Q8TAA3,PSMA8,ENSMUSG00000036743,Psma8,Q9CWH6
ENSG00000154839,Q96BD8,SKA1,ENSMUSG00000036223,Ska1,"['A0A0R4J0M5', 'A0A494BA00']"
ENSG00000156504,Q7Z309,PABIR2,ENSMUSG00000036022,Fam122b,Q6NZE7
ENSG00000157827,Q96PY5,FMNL2,ENSMUSG00000036053,Fmnl2,A2APV2
ENSG00000157890,A6BM72,MEGF11,ENSMUSG00000036466,Megf11,Q80T91
ENSG00000158270,Q5KU26,COLEC12,ENSMUSG00000036103,Colec12,Q8K4Q8
ENSG00000158691,O43309,ZSCAN12,ENSMUSG00000036721,Zscan12,Q9Z1D7
ENSG00000159189,P02747,C1QC,ENSMUSG00000036896,C1qc,Q02105
ENSG00000159363,Q9NQ11,ATP13A2,ENSMUSG00000036622,Atp13a2,Q9CTG6
ENSG00000160326,Q9UGQ3,SLC2A6,ENSMUSG00000036067,Slc2a6,Q3UDF0
ENSG00000161013,Q9UQ53,MGAT4B,ENSMUSG00000036620,Mgat4b,Q812F8
ENSG00000162065,Q9ULP9,TBC1D24,ENSMUSG00000036473,Tbc1d24,Q3UUG6
ENSG00000162066,Q9Y303,AMDHD2,ENSMUSG00000036820,Amdhd2,Q8JZV7
ENSG00000162552,P56705,WNT4,ENSMUSG00000036856,Wnt4,P22724
ENSG00000162642,Q8N6N3,C1orf52,ENSMUSG00000036873,2410004B18Rik,Q9CWU4
ENSG00000162910,Q7Z7F7,MRPL55,ENSMUSG00000036860,Mrpl55,Q9CZ83
ENSG00000162980,Q9Y689,ARL5A,ENSMUSG00000036093,Arl5a,Q80ZU0
ENSG00000163171,Q9UKI2,CDC42EP3,ENSMUSG00000036533,Cdc42ep3,Q9CQC5
ENSG00000163453,Q16270,IGFBP7,ENSMUSG00000036256,Igfbp7,Q61581
ENSG00000163606,Q8TD46,CD200R1,ENSMUSG00000022667,Cd200r1,Q9ES57
ENSG00000163606,Q8TD46,CD200R1,ENSMUSG00000022667,Cd200r1,Q9ES57
ENSG00000163606,Q8TD46,CD200R1,ENSMUSG00000022667,Cd200r1,Q9ES57
ENSG00000163606,Q8TD46,CD200R1,ENSMUSG00000022667,Cd200r1,Q9ES57
ENSG00000206531,Q6Q8B3,CD200R1L,ENSMUSG00000022667,Cd200r1,Q9ES57
ENSG00000206531,Q6Q8B3,CD200R1L,ENSMUSG00000022667,Cd200r1,Q9ES57
ENSG00000206531,Q6Q8B3,CD200R1L,ENSMUSG00000022667,Cd200r1,Q9ES57
ENSG00000206531,Q6Q8B3,CD200R1L,ENSMUSG00000022667,Cd200r1,Q9ES57
ENSG00000163606,Q8TD46,CD200R1,ENSMUSG00000036172,Cd200r3,Q5UKY4
ENSG00000163606,Q8TD46,CD200R1,ENSMUSG00000036172,Cd200r3,Q5UKY4
ENSG00000163606,Q8TD46,CD200R1,ENSMUSG00000036172,Cd200r3,Q5UKY4
ENSG00000163606,Q8TD46,CD200R1,ENSMUSG00000036172,Cd200r3,Q5UKY4
ENSG00000206531,Q6Q8B3,CD200R1L,ENSMUSG00000036172,Cd200r3,Q5UKY4
ENSG00000206531,Q6Q8B3,CD200R1L,ENSMUSG00000036172,Cd200r3,Q5UKY4
ENSG00000206531,Q6Q8B3,CD200R1L,ENSMUSG00000036172,Cd200r3,Q5UKY4
ENSG00000206531,Q6Q8B3,CD200R1L,ENSMUSG00000036172,Cd200r3,Q5UKY4
ENSG00000163606,Q8TD46,CD200R1,ENSMUSG00000062082,Cd200r4,Q6XJV4
ENSG00000163606,Q8TD46,CD200R1,ENSMUSG00000062082,Cd200r4,Q6XJV4
ENSG00000163606,Q8TD46,CD200R1,ENSMUSG00000062082,Cd200r4,Q6XJV4
ENSG00000163606,Q8TD46,CD200R1,ENSMUSG00000062082,Cd200r4,Q6XJV4
ENSG00000206531,Q6Q8B3,CD200R1L,ENSMUSG00000062082,Cd200r4,Q6XJV4
ENSG00000206531,Q6Q8B3,CD200R1L,ENSMUSG00000062082,Cd200r4,Q6XJV4
ENSG00000206531,Q6Q8B3,CD200R1L,ENSMUSG00000062082,Cd200r4,Q6XJV4
ENSG00000206531,Q6Q8B3,CD200R1L,ENSMUSG00000062082,Cd200r4,Q6XJV4
ENSG00000163608,Q6NW34,NEPRO,ENSMUSG00000036208,Nepro,Q8R2U2
ENSG00000163808,Q9NS87,KIF15,ENSMUSG00000036768,Kif15,Q6P9L6
ENSG00000164128,P25929,NPY1R,ENSMUSG00000036437,Npy1r,Q04573
ENSG00000164406,Q969E1,LEAP2,ENSMUSG00000036216,Leap2,Q91V13
ENSG00000164542,Q8NCT3,MATCAP2,ENSMUSG00000036411,9530077C05Rik,Q7TQE7
ENSG00000164597,Q9UP83,COG5,ENSMUSG00000035933,Cog5,Q8C0L8
ENSG00000164828,O94901,SUN1,ENSMUSG00000036817,Sun1,Q9D666
ENSG00000164855,Q6ZMB5,TMEM184A,ENSMUSG00000036687,Tmem184a,Q3UFJ6
ENSG00000164877,Q8IY33,MICALL2,ENSMUSG00000036718,Micall2,Q3TN34
ENSG00000164967,Q8N5L8,RPP25L,ENSMUSG00000036114,Rpp25l,Q99JH1
ENSG00000165359,Q5JSJ4,INTS6L,ENSMUSG00000035967,Ints6l,Q8BND4
ENSG00000165495,Q96KN3,PKNOX2,ENSMUSG00000035934,Pknox2,Q8BG99
ENSG00000165661,Q6ZRP7,QSOX2,ENSMUSG00000036327,Qsox2,Q3TMX7
ENSG00000165684,Q5SXM2,SNAPC4,ENSMUSG00000036281,Snapc4,Q8BP86
ENSG00000165716,Q5VUD6,DIPK1B,ENSMUSG00000036186,Dipk1b,Q99ML4
ENSG00000165730,Q6ZVD7,STOX1,ENSMUSG00000036923,Stox1,B2RQL2
ENSG00000165782,Q86T03,PIP4P1,ENSMUSG00000035953,Pip4p1,Q3TWL2
ENSG00000165972,Q502W7,CCDC38,ENSMUSG00000036168,Ccdc38,Q8CDN8
ENSG00000166135,Q9NWT6,HIF1AN,ENSMUSG00000036450,Hif1an,Q8BLR9
ENSG00000166341,Q96JQ0,DCHS1,ENSMUSG00000036862,Dchs1,E9PVD3
ENSG00000166387,Q8ND30,PPFIBP2,ENSMUSG00000036528,Ppfibp2,O35711
ENSG00000166407,P25800,LMO1,ENSMUSG00000036111,Lmo1,Q924W9
ENSG00000166450,Q2VWP7,PRTG,ENSMUSG00000036030,Prtg,Q2EY15
ENSG00000166707,P0CG32,ZCCHC18,ENSMUSG00000031428,Zcchc18,Q8VD24
ENSG00000166707,P0CG32,ZCCHC18,ENSMUSG00000031428,Zcchc18,Q8VD24
ENSG00000174460,Q6PEW1,ZCCHC12,ENSMUSG00000031428,Zcchc18,Q8VD24
ENSG00000174460,Q6PEW1,ZCCHC12,ENSMUSG00000031428,Zcchc18,Q8VD24
ENSG00000166707,P0CG32,ZCCHC18,ENSMUSG00000036699,Zcchc12,Q9CZA5
ENSG00000166707,P0CG32,ZCCHC18,ENSMUSG00000036699,Zcchc12,Q9CZA5
ENSG00000174460,Q6PEW1,ZCCHC12,ENSMUSG00000036699,Zcchc12,Q9CZA5
ENSG00000174460,Q6PEW1,ZCCHC12,ENSMUSG00000036699,Zcchc12,Q9CZA5
ENSG00000167315,P42765,ACAA2,ENSMUSG00000036880,Acaa2,Q8BWT1
ENSG00000167491,Q86YP4,GATAD2A,ENSMUSG00000036180,Gatad2a,Q8CHY6
ENSG00000167595,Q2NL68,PROSER3,ENSMUSG00000036864,Proser3,Q7TSA6
ENSG00000168286,Q96EK4,THAP11,ENSMUSG00000036442,Thap11,Q9JJD0
ENSG00000169313,Q9H244,P2RY12,ENSMUSG00000036353,P2ry12,Q9CPV9
ENSG00000169427,Q9NPC2,KCNK9,ENSMUSG00000036760,Kcnk9,Q3LS21
ENSG00000171208,Q8NC67,NETO2,ENSMUSG00000036902,Neto2,Q8BNJ6
ENSG00000171243,Q6X4U4,SOSTDC1,ENSMUSG00000036169,Sostdc1,Q9CQN4
ENSG00000171517,Q9UBY5,LPAR3,ENSMUSG00000036832,Lpar3,Q9EQ31
ENSG00000171611,Q6ISU1,PTCRA,ENSMUSG00000036858,Ptcra,A0A0R4J0F4
ENSG00000172380,Q9UBI6,GNG12,ENSMUSG00000036402,Gng12,Q9DAS9
ENSG00000172939,O95747,OXSR1,ENSMUSG00000036737,Oxsr1,Q6P9R2
ENSG00000173114,Q9H3W5,LRRN3,ENSMUSG00000036295,Lrrn3,Q8CBC6
ENSG00000173372,P02745,C1QA,ENSMUSG00000036887,C1qa,P98086
ENSG00000174306,Q9H4I2,ZHX3,ENSMUSG00000035877,Zhx3,Q8C0Q2
