hgnc_symbol,human_ensembl_gene_id,mouse_ensembl_gene_id,external_gene_name
CDKL1,ENSG00000100490,ENSMUSG00000020990,Cdkl1
NIN,ENSG00000100503,ENSMUSG00000021068,Nin
PYGL,ENSG00000100504,ENSMUSG00000021069,Pygl
TRIM9,ENSG00000100505,ENSMUSG00000021071,Trim9
ATP6V1D,ENSG00000100554,ENSMUSG00000021114,Atp6v1d
PLEK2,ENSG00000100558,ENSMUSG00000021118,Plek2
PIGH,ENSG00000100564,ENSMUSG00000021120,Pigh
VTI1B,ENSG00000100568,ENSMUSG00000021124,Vti1b
TIMM9,ENSG00000100575,ENSMUSG00000021079,Timm9
GSTZ1,ENSG00000100577,ENSMUSG00000021033,Gstz1
AHSA1,ENSG00000100591,ENSMUSG00000021037,Ahsa1
SPTLC2,ENSG00000100596,ENSMUSG00000021036,Sptlc2
LGMN,ENSG00000100600,ENSMUSG00000021190,Lgmn
SNW1,ENSG00000100603,ENSMUSG00000021039,Snw1
CHGA,ENSG00000100604,ENSMUSG00000021194,Chga
DHRS7,ENSG00000100612,ENSMUSG00000021094,Dhrs7
PPM1A,ENSG00000100614,ENSMUSG00000021096,Ppm1a
GALNT16,ENSG00000100626,ENSMUSG00000021130,Galnt16
ASB2,ENSG00000100628,ENSMUSG00000021200,Asb2
ERH,ENSG00000100632,ENSMUSG00000021131,Erh
HIF1A,ENSG00000100644,ENSMUSG00000021109,Hif1a
SUSD6,ENSG00000100647,ENSMUSG00000021133,Susd6
SRSF5,ENSG00000100650,ENSMUSG00000021134,Srsf5
SLC10A1,ENSG00000100652,ENSMUSG00000021135,Slc10a1
MTHFD1,ENSG00000100714,ENSMUSG00000021048,Mthfd1
ZC3H14,ENSG00000100722,ENSMUSG00000021012,Zc3h14
PCNX1,ENSG00000100731,ENSMUSG00000021140,Pcnx
VRK1,ENSG00000100749,ENSMUSG00000021115,Vrk1
PSMC1,ENSG00000100764,ENSMUSG00000021178,Psmc1
PAPLN,ENSG00000100767,ENSMUSG00000021223,Papln
RPS6KA5,ENSG00000100784,ENSMUSG00000021180,Rps6ka5
YY1,ENSG00000100811,ENSMUSG00000021264,Yy1
TRIP11,ENSG00000100815,ENSMUSG00000021188,Trip11
PRORP,ENSG00000100890,ENSMUSG00000021023,Prorp
PSMA6,ENSG00000100902,ENSMUSG00000021024,Psma6
NFKBIA,ENSG00000100906,ENSMUSG00000021025,Nfkbia
SEC23A,ENSG00000100934,ENSMUSG00000020986,Sec23a
PNN,ENSG00000100941,ENSMUSG00000020994,Pnn
GTPBP4,ENSG00000107937,ENSMUSG00000021149,Gtpbp4
PITRM1,ENSG00000107959,ENSMUSG00000021193,Pitrm1
FBXL20,ENSG00000108306,ENSMUSG00000020883,Fbxl20
UBTF,ENSG00000108312,ENSMUSG00000020923,Ubtf
ASPA,ENSG00000108381,ENSMUSG00000020774,Aspa
P2RX1,ENSG00000108405,ENSMUSG00000020787,P2rx1
GOSR2,ENSG00000108433,ENSMUSG00000020946,Gosr2
RECQL5,ENSG00000108469,ENSMUSG00000020752,Recql5
GALK1,ENSG00000108479,ENSMUSG00000020766,Galk1
SLC6A4,ENSG00000108576,ENSMUSG00000020838,Slc6a4
BLMH,ENSG00000108578,ENSMUSG00000020840,Blmh
CPD,ENSG00000108582,ENSMUSG00000020841,Cpd
MED31,ENSG00000108590,ENSMUSG00000020801,Med31
FTSJ3,ENSG00000108592,ENSMUSG00000020706,Ftsj3
DDX5,ENSG00000108654,ENSMUSG00000020719,Ddx5
KAT2A,ENSG00000108773,ENSMUSG00000020918,Kat2a
DLX4,ENSG00000108813,ENSMUSG00000020871,Dlx4
LRRC59,ENSG00000108829,ENSMUSG00000020869,Lrrc59
ABCC3,ENSG00000108846,ENSMUSG00000020865,Abcc3
LUC7L3,ENSG00000108848,ENSMUSG00000020863,Luc7l3
CACNG1,ENSG00000108878,ENSMUSG00000020722,Cacng1
EFTUD2,ENSG00000108883,ENSMUSG00000020929,Eftud2
YWHAE,ENSG00000108953,ENSMUSG00000020849,Ywhae
NHERF1,ENSG00000109062,ENSMUSG00000020733,Nherf1
MYH3,ENSG00000109063,ENSMUSG00000020908,Myh3
ESYT2,ENSG00000117868,ENSMUSG00000021171,Esyt2
YLPM1,ENSG00000119596,ENSMUSG00000021244,Ylpm1
DCAF4,ENSG00000119599,ENSMUSG00000021222,Dcaf4
DCAF4L2,ENSG00000176566,ENSMUSG00000021222,Dcaf4
FCF1,ENSG00000119616,ENSMUSG00000021243,Fcf1
NPC2,ENSG00000119655,ENSMUSG00000021242,Npc2
ACOT2,ENSG00000119673,ENSMUSG00000021226,Acot2
ACOT1,ENSG00000184227,ENSMUSG00000021226,Acot2
ACOT2,ENSG00000119673,ENSMUSG00000021228,Acot3
ACOT1,ENSG00000184227,ENSMUSG00000021228,Acot3
MLH3,ENSG00000119684,ENSMUSG00000021245,Mlh3
ABCD4,ENSG00000119688,ENSMUSG00000021240,Abcd4
PPP4R4,ENSG00000119698,ENSMUSG00000021209,Ppp4r4
TGFB3,ENSG00000119699,ENSMUSG00000021253,Tgfb3
SLIRP,ENSG00000119705,ENSMUSG00000021040,Slirp
ALDH6A1,ENSG00000119711,ENSMUSG00000021238,Aldh6a1
ESRRB,ENSG00000119715,ENSMUSG00000021255,Esrrb
NRDE2,ENSG00000119720,ENSMUSG00000021179,Nrde2
COQ6,ENSG00000119723,ENSMUSG00000021235,Coq6
SLC35B1,ENSG00000121073,ENSMUSG00000020873,Slc35b1
TSHZ3,ENSG00000121297,ENSMUSG00000021217,Tshz3
GGA3,ENSG00000125447,ENSMUSG00000020740,Gga3
NUP85,ENSG00000125450,ENSMUSG00000020739,Nup85
SLC25A19,ENSG00000125454,ENSMUSG00000020744,Slc25a19
MIF4GD,ENSG00000125457,ENSMUSG00000020743,Mif4gd
NT5C,ENSG00000125458,ENSMUSG00000020736,Nt5c
NR1D1,ENSG00000126368,ENSMUSG00000020889,Nr1d1
SGPP1,ENSG00000126821,ENSMUSG00000021054,Sgpp1
PIMREG,ENSG00000129195,ENSMUSG00000020808,Pimreg
PLD2,ENSG00000129219,ENSMUSG00000020828,Pld2
TXNDC17,ENSG00000129235,ENSMUSG00000020803,Txndc17
KIF1C,ENSG00000129250,ENSMUSG00000020821,Kif1c
DTD2,ENSG00000129480,ENSMUSG00000020956,Dtd2
SEC14L1,ENSG00000129657,ENSMUSG00000020823,Sec14l1
RHBDF2,ENSG00000129667,ENSMUSG00000020806,Rhbdf2
GFAP,ENSG00000131095,ENSMUSG00000020932,Gfap
HIGD1B,ENSG00000131097,ENSMUSG00000020928,Higd1b
ACLY,ENSG00000131473,ENSMUSG00000020917,Acly
TOP2A,ENSG00000131747,ENSMUSG00000020914,Top2a
LRRC9,ENSG00000131951,ENSMUSG00000021090,Lrrc9
ACTR10,ENSG00000131966,ENSMUSG00000021076,Actr10
CLUH,ENSG00000132361,ENSMUSG00000020741,Cluh
UBE2G1,ENSG00000132388,ENSMUSG00000020794,Ube2g1
ITGB4,ENSG00000132470,ENSMUSG00000020758,Itgb4
UNK,ENSG00000132478,ENSMUSG00000020770,Unk
TRIM47,ENSG00000132481,ENSMUSG00000020773,Trim47
DLG4,ENSG00000132535,ENSMUSG00000020886,Dlg4
ERAL1,ENSG00000132591,ENSMUSG00000020832,Eral1
MYH10,ENSG00000133026,ENSMUSG00000020900,Myh10
ERG28,ENSG00000133935,ENSMUSG00000021252,Erg28
DGLUCY,ENSG00000133943,ENSMUSG00000021185,Dglucy
UNC79,ENSG00000133958,ENSMUSG00000021198,Unc79
NUMB,ENSG00000133961,ENSMUSG00000021224,Numb
EIF2S1,ENSG00000134001,ENSMUSG00000021116,Eif2s1
NMT1,ENSG00000136448,ENSMUSG00000020936,Nmt1
NOVA1,ENSG00000139910,ENSMUSG00000021047,Nova1
TMX1,ENSG00000139921,ENSMUSG00000021072,Tmx1
RTN1,ENSG00000139970,ENSMUSG00000021087,Rtn1
RDH12,ENSG00000139988,ENSMUSG00000021123,Rdh12
RAB15,ENSG00000139998,ENSMUSG00000021062,Rab15
STON2,ENSG00000140022,ENSMUSG00000020961,Ston2
EFCAB11,ENSG00000140025,ENSMUSG00000021176,Efcab11
FBLN5,ENSG00000140092,ENSMUSG00000021186,Fbln5
WARS1,ENSG00000140105,ENSMUSG00000021266,Wars1
LRRC46,ENSG00000141294,ENSMUSG00000020878,Lrrc46
SCRN2,ENSG00000141295,ENSMUSG00000020877,Scrn2
SLC13A5,ENSG00000141485,ENSMUSG00000020805,Slc13a5
MINK1,ENSG00000141503,ENSMUSG00000020827,Mink1
ASGR1,ENSG00000141505,ENSMUSG00000020884,Asgr1
PIK3R5,ENSG00000141506,ENSMUSG00000020901,Pik3r5
MIA2,ENSG00000150527,ENSMUSG00000021000,Mia2
CTAGE1,ENSG00000212710,ENSMUSG00000021000,Mia2
CTAGE9,ENSG00000236761,ENSMUSG00000021000,Mia2
CTAGE15,ENSG00000271079,ENSMUSG00000021000,Mia2
CTAGE6,ENSG00000271321,ENSMUSG00000021000,Mia2
CTAGE4,ENSG00000288784,ENSMUSG00000021000,Mia2
CTAGE8,ENSG00000289604,ENSMUSG00000021000,Mia2
NPAS3,ENSG00000151322,ENSMUSG00000021010,Npas3
MBIP,ENSG00000151332,ENSMUSG00000021028,Mbip
VIPAS39,ENSG00000151445,ENSMUSG00000021038,Vipas39
SAV1,ENSG00000151748,ENSMUSG00000021067,Sav1
PPP2R5E,ENSG00000154001,ENSMUSG00000021051,Ppp2r5e
CEP112,ENSG00000154240,ENSMUSG00000020728,Cep112
USP43,ENSG00000154914,ENSMUSG00000020905,Usp43
ANKRD40,ENSG00000154945,ENSMUSG00000020864,Ankrd40
FAM161B,ENSG00000156050,ENSMUSG00000021234,Fam161b
GRIN2C,ENSG00000161509,ENSMUSG00000020734,Grin2c
SAP30BP,ENSG00000161526,ENSMUSG00000020755,Sap30bp
ACOX1,ENSG00000161533,ENSMUSG00000020777,Acox1
CYGB,ENSG00000161544,ENSMUSG00000020810,Cygb
LSM12,ENSG00000161654,ENSMUSG00000020922,Lsm12
PLCD3,ENSG00000161714,ENSMUSG00000020937,Plcd3
POLR2H,ENSG00000163882,ENSMUSG00000021018,Polr2h
CDCA7L,ENSG00000164649,ENSMUSG00000021175,Cdca7l
TSHR,ENSG00000165409,ENSMUSG00000020963,Tshr
GTF2A1,ENSG00000165417,ENSMUSG00000020962,Gtf2a1
DNAAF2,ENSG00000165506,ENSMUSG00000020973,Dnaaf2
KLHDC2,ENSG00000165516,ENSMUSG00000020978,Klhdc2
NEMF,ENSG00000165525,ENSMUSG00000020982,Nemf
TTC8,ENSG00000165533,ENSMUSG00000021013,Ttc8
NGB,ENSG00000165553,ENSMUSG00000021032,Ngb
ISCA2,ENSG00000165898,ENSMUSG00000021241,Isca2
TC2N,ENSG00000165929,ENSMUSG00000021187,Tc2n
CLMN,ENSG00000165959,ENSMUSG00000021097,Clmn
CCDC103,ENSG00000167131,ENSMUSG00000020930,Ccdc103
DHRS13,ENSG00000167536,ENSMUSG00000020834,Dhrs13
CORO6,ENSG00000167549,ENSMUSG00000020836,Coro6
NXN,ENSG00000167693,ENSMUSG00000020844,Nxn
SRP68,ENSG00000167881,ENSMUSG00000020780,Srp68
DEGS2,ENSG00000168350,ENSMUSG00000021263,Degs2
BDKRB2,ENSG00000168398,ENSMUSG00000021070,Bdkrb2
ADPRM,ENSG00000170222,ENSMUSG00000020910,Adprm
STX8,ENSG00000170310,ENSMUSG00000020903,Stx8
FOS,ENSG00000170345,ENSMUSG00000021250,Fos
TMED10,ENSG00000170348,ENSMUSG00000021248,Tmed10
HOXB9,ENSG00000170689,ENSMUSG00000020875,Hoxb9
KRT19,ENSG00000171345,ENSMUSG00000020911,Krt19
RAB37,ENSG00000172794,ENSMUSG00000020732,Rab37
DCAKD,ENSG00000172992,ENSMUSG00000020935,Dcakd
STAT5B,ENSG00000173757,ENSMUSG00000020919,Stat5b
NET1,ENSG00000173848,ENSMUSG00000021215,Net1
PRPF8,ENSG00000174231,ENSMUSG00000020850,Prpf8
RALGAPA1,ENSG00000174373,ENSMUSG00000021027,Ralgapa1
UBE2O,ENSG00000175931,ENSMUSG00000020802,Ube2o
FOXG1,ENSG00000176165,ENSMUSG00000020950,Foxg1
TIMM22,ENSG00000177370,ENSMUSG00000020843,Timm22
TMEM94,ENSG00000177728,ENSMUSG00000020747,Tmem94
ERN1,ENSG00000178607,ENSMUSG00000020715,Ern1
PFAS,ENSG00000178921,ENSMUSG00000020899,Pfas
CTC1,ENSG00000178971,ENSMUSG00000020898,Ctc1
AURKB,ENSG00000178999,ENSMUSG00000020897,Aurkb
TMEM107,ENSG00000179029,ENSMUSG00000020895,Tmem107
PER1,ENSG00000179094,ENSMUSG00000020893,Per1
ALOXE3,ENSG00000179148,ENSMUSG00000020892,Aloxe3
WSCD1,ENSG00000179314,ENSMUSG00000020811,Wscd1
PACS2,ENSG00000179364,ENSMUSG00000021143,Pacs2
KLHL28,ENSG00000179454,ENSMUSG00000020948,Klhl28
AKAP5,ENSG00000179841,ENSMUSG00000021057,Akap5
CCDC43,ENSG00000180329,ENSMUSG00000020925,Ccdc43
RPH3AL,ENSG00000181031,ENSMUSG00000020847,Rph3al
TSEN54,ENSG00000182173,ENSMUSG00000020781,Tsen54
HHIPL1,ENSG00000182218,ENSMUSG00000021260,Hhipl1
TMIGD1,ENSG00000182271,ENSMUSG00000020839,Tmigd1
TRAPPC6B,ENSG00000182400,ENSMUSG00000020993,Trappc6b
EXOC7,ENSG00000182473,ENSMUSG00000020792,Exoc7
GLRX5,ENSG00000182512,ENSMUSG00000021102,Glrx5
SPNS3,ENSG00000182557,ENSMUSG00000020798,Spns3
GALR2,ENSG00000182687,ENSMUSG00000020793,Galr2
RGS6,ENSG00000182732,ENSMUSG00000021219,Rgs6
VMO1,ENSG00000182853,ENSMUSG00000020830,Vmo1
MTA1,ENSG00000182979,ENSMUSG00000021144,Mta1
RFLNB,ENSG00000183688,ENSMUSG00000020846,Rflnb
ADAP2,ENSG00000184060,ENSMUSG00000020709,Adap2
ZFP36L1,ENSG00000185650,ENSMUSG00000021127,Zfp36l1
ANKFY1,ENSG00000185722,ENSMUSG00000020790,Ankfy1
ENTPD5,ENSG00000187097,ENSMUSG00000021236,Entpd5
FBF1,ENSG00000188878,ENSMUSG00000020776,Fbf1
JPT1,ENSG00000189159,ENSMUSG00000020737,Jpt1
SERPINA3,ENSG00000196136,ENSMUSG00000021091,Serpina3n
EVL,ENSG00000196405,ENSMUSG00000021262,Evl
NF1,ENSG00000196712,ENSMUSG00000020716,Nf1
STRN3,ENSG00000196792,ENSMUSG00000020954,Strn3
SLC25A29,ENSG00000197119,ENSMUSG00000021265,Slc25a29
PSMD12,ENSG00000197170,ENSMUSG00000020720,Psmd12
DDX42,ENSG00000198231,ENSMUSG00000020705,Ddx42
HELZ,ENSG00000198265,ENSMUSG00000020721,Helz
ATL1,ENSG00000198513,ENSMUSG00000021066,Atl1
SMOC1,ENSG00000198732,ENSMUSG00000021136,Smoc1
KIAA0753,ENSG00000198920,ENSMUSG00000020807,4933427D14Rik
MRPL38,ENSG00000204316,ENSMUSG00000020775,Mrpl38
DPF3,ENSG00000205683,ENSMUSG00000021221,Dpf3
VAMP2,ENSG00000220205,ENSMUSG00000020894,Vamp2
NME2,ENSG00000243678,ENSMUSG00000020857,Nme2
POLG2,ENSG00000256525,ENSMUSG00000020718,Polg2
TEN1,ENSG00000257949,ENSMUSG00000020778,Ten1
C17orf49,ENSG00000258315,ENSMUSG00000020831,0610010K14Rik
PECAM1,ENSG00000261371,ENSMUSG00000020717,Pecam1
DOC2B,ENSG00000272636,ENSMUSG00000020848,Doc2b
SAMD4A,ENSG00000020577,ENSMUSG00000021838,Samd4
B4GALT7,ENSG00000027847,ENSMUSG00000021504,B4galt7
SLC4A7,ENSG00000033867,ENSMUSG00000021733,Slc4a7
VCL,ENSG00000035403,ENSMUSG00000021823,Vcl
DEPDC1B,ENSG00000035499,ENSMUSG00000021697,Depdc1b
NSUN2,ENSG00000037474,ENSMUSG00000021595,Nsun2
VCAN,ENSG00000038427,ENSMUSG00000021614,Vcan
ERCC8,ENSG00000049167,ENSMUSG00000021694,Ercc8
CLPTM1L,ENSG00000049656,ENSMUSG00000021610,Clptm1l
HEXB,ENSG00000049860,ENSMUSG00000021665,Hexb
PTCD2,ENSG00000049883,ENSMUSG00000021650,Ptcd2
MCUR1,ENSG00000050393,ENSMUSG00000021371,Mcur1
AHRR,ENSG00000063438,ENSMUSG00000021575,Ahrr
KIF26A,ENSG00000066735,ENSMUSG00000021294,Kif26a
PLPP1,ENSG00000067113,ENSMUSG00000021759,Plpp1
KIF2A,ENSG00000068796,ENSMUSG00000021693,Kif2a
PITX1,ENSG00000069011,ENSMUSG00000021506,Pitx1
FGF10,ENSG00000070193,ENSMUSG00000021732,Fgf10
TRIP13,ENSG00000071539,ENSMUSG00000021569,Trip13
SDHA,ENSG00000073578,ENSMUSG00000021577,Sdha
GPR137B,ENSG00000077585,ENSMUSG00000021306,Gpr137b
AMPH,ENSG00000078053,ENSMUSG00000021314,Amph
ADCY2,ENSG00000078295,ENSMUSG00000021536,Adcy2
EDN1,ENSG00000078401,ENSMUSG00000021367,Edn1
DUSP13,ENSG00000079393,ENSMUSG00000021768,Dusp13
FDFT1,ENSG00000079459,ENSMUSG00000021273,Fdft1
SCGN,ENSG00000079689,ENSMUSG00000021337,Scgn
CARMIL1,ENSG00000079691,ENSMUSG00000021338,Carmil1
SCAMP1,ENSG00000085365,ENSMUSG00000021687,Scamp1
DIMT1,ENSG00000086189,ENSMUSG00000021692,Dimt1
TXNDC16,ENSG00000087301,ENSMUSG00000021830,Txndc16
RTRAF,ENSG00000087302,ENSMUSG00000021807,Rtraf
NID2,ENSG00000087303,ENSMUSG00000021806,Nid2
PPP1R13B,ENSG00000088808,ENSMUSG00000021285,Ppp1r13b
SPTLC1,ENSG00000090054,ENSMUSG00000021468,Sptlc1
MAP3K1,ENSG00000095015,ENSMUSG00000021754,Map3k1
HIVEP1,ENSG00000095951,ENSMUSG00000021366,Hivep1
PSMC6,ENSG00000100519,ENSMUSG00000021832,Psmc6
CCDC198,ENSG00000100557,ENSMUSG00000021850,ccdc198
EIF5,ENSG00000100664,ENSMUSG00000021282,Eif5
ZFYVE21,ENSG00000100711,ENSMUSG00000021286,Zfyve21
CINP,ENSG00000100865,ENSMUSG00000021276,Cinp
SFRP4,ENSG00000106483,ENSMUSG00000021319,Sfrp4
GLI3,ENSG00000106571,ENSMUSG00000021318,Gli3
SPIN1,ENSG00000106723,ENSMUSG00000021395,Spin1
OGN,ENSG00000106809,ENSMUSG00000021390,Ogn
ASPN,ENSG00000106819,ENSMUSG00000021388,Aspn
PPP3CB,ENSG00000107758,ENSMUSG00000021816,Ppp3cb
BMPR1A,ENSG00000107779,ENSMUSG00000021796,Bmpr1a
PPIF,ENSG00000108179,ENSMUSG00000021868,Ppif
MAK,ENSG00000111837,ENSMUSG00000021363,Mak
TMEM14C,ENSG00000111843,ENSMUSG00000021361,Tmem14c
GCNT2,ENSG00000111846,ENSMUSG00000021360,Gcnt2
NEDD9,ENSG00000111859,ENSMUSG00000021365,Nedd9
CAP2,ENSG00000112186,ENSMUSG00000021373,Cap2
GPLD1,ENSG00000112293,ENSMUSG00000021340,Gpld1
EXOC2,ENSG00000112685,ENSMUSG00000021357,Exoc2
PRPF4B,ENSG00000112739,ENSMUSG00000021413,Prpf4b
LY86,ENSG00000112799,ENSMUSG00000021423,Ly86
ERBIN,ENSG00000112851,ENSMUSG00000021709,Erbin
CEP72,ENSG00000112877,ENSMUSG00000021572,Cep72
MRPS30,ENSG00000112996,ENSMUSG00000021731,Mrps30
HMGCR,ENSG00000113161,ENSMUSG00000021670,Hmgcr
CERT1,ENSG00000113163,ENSMUSG00000021669,Cert1
PDE8B,ENSG00000113231,ENSMUSG00000021684,Pde8b
THBS4,ENSG00000113296,ENSMUSG00000021702,Thbs4
RASGRF2,ENSG00000113319,ENSMUSG00000021708,Rasgrf2
PDE4D,ENSG00000113448,ENSMUSG00000021699,Pde4d
PPWD1,ENSG00000113593,ENSMUSG00000021713,Ppwd1
TRIM23,ENSG00000113595,ENSMUSG00000021712,Trim23
TRAPPC13,ENSG00000113597,ENSMUSG00000021711,Trappc13
TXNDC15,ENSG00000113621,ENSMUSG00000021497,Txndc15
SMAD5,ENSG00000113658,ENSMUSG00000021540,Smad5
ZNF346,ENSG00000113761,ENSMUSG00000021481,Zfp346
MTR,ENSG00000116984,ENSMUSG00000021311,Mtr
MSX2,ENSG00000120149,ENSMUSG00000021469,Msx2
POLK,ENSG00000122008,ENSMUSG00000021668,Polk
ANXA11,ENSG00000122359,ENSMUSG00000021866,Anxa11
LDB3,ENSG00000122367,ENSMUSG00000021798,Ldb3
PRXL2A,ENSG00000122378,ENSMUSG00000021792,Prxl2a
SFTPA1,ENSG00000122852,ENSMUSG00000021789,Sftpa1
SFTPA2,ENSG00000185303,ENSMUSG00000021789,Sftpa1
PLAU,ENSG00000122861,ENSMUSG00000021822,Plau
ECD,ENSG00000122882,ENSMUSG00000021810,Ecd
NLN,ENSG00000123213,ENSMUSG00000021710,Nln
CENPK,ENSG00000123219,ENSMUSG00000021714,Cenpk
FASTKD3,ENSG00000124279,ENSMUSG00000021532,Fastkd3
MRS2,ENSG00000124532,ENSMUSG00000021339,Mrs2
WRNIP1,ENSG00000124535,ENSMUSG00000021400,Wrnip1
SLC17A1,ENSG00000124568,ENSMUSG00000021335,Slc17a1
SSR1,ENSG00000124783,ENSMUSG00000021427,Ssr1
RIOK1,ENSG00000124784,ENSMUSG00000021428,Riok1
SLC35B3,ENSG00000124786,ENSMUSG00000021432,Slc35b3
RPP40,ENSG00000124787,ENSMUSG00000021418,Rpp40
NUP153,ENSG00000124789,ENSMUSG00000021374,Nup153
DEK,ENSG00000124795,ENSMUSG00000021377,Dek
GCM2,ENSG00000124827,ENSMUSG00000021362,Gcm2
BMP4,ENSG00000125378,ENSMUSG00000021835,Bmp4
KLC1,ENSG00000126214,ENSMUSG00000021288,Klc1
XRCC3,ENSG00000126215,ENSMUSG00000021287,Xrcc3
KTN1,ENSG00000126777,ENSMUSG00000021843,Ktn1
IPPK,ENSG00000127080,ENSMUSG00000021385,Ippk
NXNL2,ENSG00000130045,ENSMUSG00000021396,Nxnl2
GADD45G,ENSG00000130222,ENSMUSG00000021453,Gadd45g
HABP4,ENSG00000130956,ENSMUSG00000021476,Habp4
FBP2,ENSG00000130957,ENSMUSG00000021456,Fbp2
F12,ENSG00000131187,ENSMUSG00000021492,F12
TRAF3,ENSG00000131323,ENSMUSG00000021277,Traf3
SH3BP5,ENSG00000131370,ENSMUSG00000021892,Sh3bp5
HACL1,ENSG00000131373,ENSMUSG00000021884,Hacl1
CAPN7,ENSG00000131375,ENSMUSG00000021893,Capn7
BARX1,ENSG00000131668,ENSMUSG00000021381,Barx1
CKMT2,ENSG00000131730,ENSMUSG00000021622,Ckmt2
ZCCHC9,ENSG00000131732,ENSMUSG00000021621,Zcchc9
MCCC2,ENSG00000131844,ENSMUSG00000021646,Mccc2
PCBD2,ENSG00000132570,ENSMUSG00000021496,Pcbd2
AP3B1,ENSG00000132842,ENSMUSG00000021686,Ap3b1
SLF1,ENSG00000133302,ENSMUSG00000021597,Slf1
SFTPD,ENSG00000133661,ENSMUSG00000021795,Sftpd
CD180,ENSG00000134061,ENSMUSG00000021624,Cd180
IL6ST,ENSG00000134352,ENSMUSG00000021756,Il6st
FST,ENSG00000134363,ENSMUSG00000021765,Fst
CCNH,ENSG00000134480,ENSMUSG00000021548,Ccnh
NAA35,ENSG00000135040,ENSMUSG00000021555,Naa35
AGTPBP1,ENSG00000135049,ENSMUSG00000021557,Agtpbp1
GOLM1,ENSG00000135052,ENSMUSG00000021556,Golm1
AOAH,ENSG00000136250,ENSMUSG00000021322,Aoah
KIF13A,ENSG00000137177,ENSMUSG00000021375,Kif13a
TFAP2A,ENSG00000137203,ENSMUSG00000021359,Tfap2a
IRF4,ENSG00000137265,ENSMUSG00000021356,Irf4
RIPK1,ENSG00000137275,ENSMUSG00000021408,Ripk1
TPMT,ENSG00000137364,ENSMUSG00000021376,Tpmt
ANXA7,ENSG00000138279,ENSMUSG00000021814,Anxa7
PELI2,ENSG00000139946,ENSMUSG00000021846,Peli2
GPR65,ENSG00000140030,ENSMUSG00000021886,Gpr65
EAF1,ENSG00000144597,ENSMUSG00000021890,Eaf1
NDUFS6,ENSG00000145494,ENSMUSG00000021606,Ndufs6
NKD2,ENSG00000145506,ENSMUSG00000021567,Nkd2
SRD5A1,ENSG00000145545,ENSMUSG00000021594,Srd5a1
PLK2,ENSG00000145632,ENSMUSG00000021701,Plk2
HAPLN1,ENSG00000145681,ENSMUSG00000021613,Hapln1
IQGAP2,ENSG00000145703,ENSMUSG00000021676,Iqgap2
RASA1,ENSG00000145715,ENSMUSG00000021549,Rasa1
GTF2H2,ENSG00000145736,ENSMUSG00000021639,Gtf2h2
GTF2H2C,ENSG00000183474,ENSMUSG00000021639,Gtf2h2
SLC30A5,ENSG00000145740,ENSMUSG00000021629,Slc30a5
CXCL14,ENSG00000145824,ENSMUSG00000021508,Cxcl14
LECT2,ENSG00000145826,ENSMUSG00000021539,Lect2
SLC25A48,ENSG00000145832,ENSMUSG00000021509,Slc25a48
DDX46,ENSG00000145833,ENSMUSG00000021500,Ddx46
FAM217A,ENSG00000145975,ENSMUSG00000021414,Fam217a
TBC1D7,ENSG00000145979,ENSMUSG00000021368,Tbc1d7
FARS2,ENSG00000145982,ENSMUSG00000021420,Fars2
SLC17A4,ENSG00000146039,ENSMUSG00000021336,Slc17a4
FAM193B,ENSG00000146067,ENSMUSG00000021495,Fam193b
AUH,ENSG00000148090,ENSMUSG00000021460,Auh
AOPEP,ENSG00000148120,ENSMUSG00000021458,Aopep
CAMK2G,ENSG00000148660,ENSMUSG00000021820,Camk2g
GLUD1,ENSG00000148672,ENSMUSG00000021794,Glud1
GLUD2,ENSG00000182890,ENSMUSG00000021794,Glud1
THRB,ENSG00000151090,ENSMUSG00000021779,Thrb
NGLY1,ENSG00000151092,ENSMUSG00000021785,Ngly1
OXSM,ENSG00000151093,ENSMUSG00000021786,Oxsm
DLG5,ENSG00000151208,ENSMUSG00000021782,Dlg5
PARP8,ENSG00000151883,ENSMUSG00000021725,Parp8
ATG10,ENSG00000152348,ENSMUSG00000021619,Atg10
POC5,ENSG00000152359,ENSMUSG00000021671,Poc5
JMY,ENSG00000152409,ENSMUSG00000021690,Jmy
XRCC4,ENSG00000152422,ENSMUSG00000021615,Xrcc4
DDX4,ENSG00000152670,ENSMUSG00000021758,Ddx4
CATSPER3,ENSG00000152705,ENSMUSG00000021499,Catsper3
GGPS1,ENSG00000152904,ENSMUSG00000021302,Ggps1
RAB3C,ENSG00000152932,ENSMUSG00000021700,Rab3c
MARVELD2,ENSG00000152939,ENSMUSG00000021636,Marveld2
RAD17,ENSG00000152942,ENSMUSG00000021635,Rad17
SREK1IP1,ENSG00000153006,ENSMUSG00000021716,Srek1ip1
CWC27,ENSG00000153015,ENSMUSG00000021715,Cwc27
CAST,ENSG00000153113,ENSMUSG00000021585,Cast
CETN3,ENSG00000153140,ENSMUSG00000021537,Cetn3
LPCAT1,ENSG00000153395,ENSMUSG00000021608,Lpcat1
CDK20,ENSG00000156345,ENSMUSG00000021483,Cdk20
ATP5MJ,ENSG00000156411,ENSMUSG00000021290,Atp5mpl
UQCRB,ENSG00000156467,ENSMUSG00000021520,Uqcrb
MTERF3,ENSG00000156469,ENSMUSG00000021519,Mterf3
PTDSS1,ENSG00000156471,ENSMUSG00000021518,Ptdss1
